,name,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
40,High On Life (feat. Bonn),"['Martin Garrix', 'Bonn']",0.41400000000000003,0.486,6,-6.431,0.031100000000000003,0.0129,0.0,0.111,0.368,128.038
41,Yottabyte,['Martin Garrix'],0.634,0.632,5,-4.52,0.0313,0.0129,0.000453,0.116,0.449,128.075
42,Ocean (feat. Khalid),"['Martin Garrix', 'Khalid']",0.506,0.6930000000000001,0,-7.265,0.0412,0.584,9.580000000000001e-05,0.0891,0.221,139.912
43,Forever,"['Martin Garrix', 'Matisse & Sadko']",0.45,0.898,8,-3.604,0.0395,0.027700000000000002,0.0616,0.166,0.22,127.983
44,Together,"['Martin Garrix', 'Matisse & Sadko']",0.509,0.729,1,-4.773,0.034300000000000004,0.0732,2.7300000000000003e-05,0.233,0.196,127.871
45,Scared to Be Lonely,"['Martin Garrix', 'Dua Lipa']",0.584,0.54,1,-7.786,0.057600000000000005,0.08950000000000001,0.0,0.261,0.195,137.972
46,Breach (Walk Alone),"['Martin Garrix', 'Blinders']",0.738,0.9530000000000001,1,-4.781,0.216,0.0388,0.0146,0.214,0.483,128.069
47,Animals - Radio Edit,['Martin Garrix'],0.593,0.914,1,-5.351,0.0363,0.0013700000000000001,0.445,0.0714,0.0381,128.015
48,Back & Forth,"['MK', 'Jonas Blue', 'Becky Hill']",0.684,0.8160000000000001,10,-5.211,0.0322,0.0181,0.0,0.0222,0.7020000000000001,121.993
49,Dancing Alone,"['Axwell /\\ Ingrosso', 'RØMANS']",0.6990000000000001,0.9400000000000001,8,-5.969,0.20800000000000002,0.0853,0.0,0.336,0.652,122.079
